Human|[Human]
Erythrocyte Membrane|[Cytoskeleton, Erythrocyte$Cytoskeletons, Erythrocyte$Erythrocyte Cytoskeleton$Erythrocyte Cytoskeletons$Erythrocyte Membrane$Erythrocyte Membranes$Membrane, Erythrocyte$Membranes, Erythrocyte]
Hospitals, Psychiatric|[Hospital, Psychiatric$Hospitals, Psychiatric$Psychiatric Hospital$Psychiatric Hospitals$Hospital, Mental$Hospitals, Mental$Mental Hospital$Mental Hospitals$Institution, Mental$Institutions, Mental$Mental Institution$Mental Institutions]
Life Style|[Life Style$Life Styles$Style, Life$Styles, Life$Lifestyle$Lifestyles]
Mass Fragmentography|[Chromatographies, Gas-Liquid-Mass Spectrometry$Chromatography, Gas Liquid Mass Spectrometry$Chromatography, Gas-Liquid-Mass Spectrometry$Chromatography-Mass Spectrometries, Gas-Liquid$Chromatography-Mass Spectrometry, Gas-Liquid$Gas Liquid Chromatography Mass Spectrometry$Gas-Liquid Chromatography-Mass Spectrometries$Gas-Liquid Chromatography-Mass Spectrometry$Spectrometries, Gas-Liquid Chromatography-Mass$Spectrometry, Gas-Liquid Chromatography-Mass$Chromatographies, Gas-Mass Spectrometry$Chromatography, Gas Mass Spectrometry$Chromatography, Gas-Mass Spectrometry$Spectrometries, Mass-Gas Chromatography$Spectrometry, Mass Gas Chromatography$Spectrometry, Mass-Gas Chromatography$Chromatographies, Mass Spectrometry-Gas$Chromatography, Mass Spectrometry-Gas$Chromatography-Mass Spectrometries, Gas$Chromatography-Mass Spectrometry, Gas$Gas Chromatography Mass Spectrometry$Gas Chromatography-Mass Spectrometries$Gas Chromatography-Mass Spectrometry$Mass Spectrometry Gas Chromatography$Mass Spectrometry-Gas Chromatographies$Mass Spectrometry-Gas Chromatography$Spectrometries, Gas Chromatography-Mass$Spectrometry, Gas Chromatography-Mass$Spectrometry-Gas Chromatographies, Mass$Spectrometry-Gas Chromatography, Mass$Fragmentographies, Mass$Mass Fragmentographies$Spectrum Analysis, Mass-Gas Chromatography$Spectrum Analysis, Mass Gas Chromatography$Fragmentography, Mass$Mass Fragmentography]
Nephrectomy|[Nephrectomies$Nephrectomy]
Face|[Face$Faces]
Mesocricetus|[Golden Hamster$Golden Hamsters$Hamster, Golden$Hamsters, Golden$Mesocricetus]
Dinoprostone|[Dinoprostone$Prostaglandin E2$E2, Prostaglandin$E2alpha, Prostaglandin$Prostaglandin E2alpha$Prostaglandin E2 alpha$E2 alpha, Prostaglandin$alpha, Prostaglandin E2$PGE2 alpha$alpha, PGE2$PGE2$PGE2alpha$Prosta-5,13-dien-1-oic acid, 11,15-dihydroxy-9-oxo-, (5Z,11alpha,13E,15S)-]
Bronchitis|[Bronchitides$Bronchitis]
X-Ray Diffraction|[Diffraction, X-Ray$Diffractions, X-Ray$X Ray Diffraction$X-Ray Diffraction$X-Ray Diffractions$Diffraction, Xray$Diffractions, Xray$Xray Diffraction$Xray Diffractions]
Mast Cells|[Basophil, Tissue$Basophils, Tissue$Tissue Basophils$Tissue Basophil$Cell, Mast$Cells, Mast$Mast Cells$Mast Cell]
Czechoslovakia|[Czechoslovakia]
Switzerland|[Switzerland]
Colorectal Neoplasms|[Colorectal Neoplasm$Colorectal Neoplasms$Neoplasm, Colorectal$Neoplasms, Colorectal]
Breast|[Breast$Breasts$Gland, Mammary$Glands, Mammary$Mammary Gland$Mammary Glands]
Cause of Death|[Cause of Death$Causes of Death$Death Cause$Death Causes]
Sulfhydryl Compounds|[Mercaptans$Compounds, Mercapto$Mercapto Compounds$Compounds, Sulfhydryl$Sulfhydryl Compounds$Thiols]
Physical Therapy Techniques|[Physical Therapy Techniques$Techniques, Physical Therapy$Physiotherapies (Techniques)$Physiotherapy (Techniques)]
Chromatography, Paper|[Chromatographies, Paper$Chromatography, Paper$Paper Chromatographies$Paper Chromatography]
Estrus|[Estrus]
Gene Expression Regulation, Developmental|[Developmental Gene Expression Regulation$Gene Expression Regulation, Developmental$Regulation of Gene Expression, Developmental$Regulation, Gene Expression, Developmental$Embryologic Gene Expression Regulation$Gene Expression Regulation, Embryologic$Regulation of Gene Expression, Embryologic$Regulation, Gene Expression, Embryologic]
Gamma globulin|[Gamma Globulin$Gamma Globulins$Gamma-Globulin$Gamma-Globulins]
Blood Vessel Prosthesis|[Blood Vessel Prostheses$Blood Vessel Prosthesis$Prostheses, Blood Vessel$Prosthesis, Blood Vessel$Vessel Prostheses, Blood$Vessel Prosthesis, Blood$Prostheses, Vascular$Prosthesis, Vascular$Vascular Prostheses$Vascular Prosthesis]
Blood Vessel Prosthesis Implantation|[Blood Vessel Prosthesis Implantation$Implantation, Blood Vessel Prosthesis]
Clinical examination|[Examination, Physical$Examinations, Physical$Physical Examination$Physical Examinations]
Endothelium|[Endothelium$Endotheliums]
Eye Movements|[Eye Movement$Eye Movements$Movement, Eye$Movements, Eye]
Artificial cardiac pacemaker|[Artificial Cardiac Pacemaker$Artificial Cardiac Pacemakers$Cardiac Pacemaker, Artificial$Cardiac Pacemakers, Artificial$Pacemaker, Artificial Cardiac$Pacemakers, Artificial Cardiac$Artificial Pacemaker$Artificial Pacemakers$Pacemaker, Artificial$Pacemakers, Artificial]
Models, Structural|[Model, Structural$Models, Structural$Structural Model$Structural Models]
Parent-Child Relations|[Parent Child Relationship$Parent-Child Relationship$Parent-Child Relationships$Relationship, Parent-Child$Relationships, Parent-Child$Child Relationship, Parent$Child Relationships, Parent$Parent Child Relationships$Relationship, Parent Child$Relationships, Parent Child$Parent Child Relations$Parent-Child Relation$Parent-Child Relations$Relation, Parent-Child$Relations, Parent-Child]
Bipolar Disorder|[Affective Psychosis, Bipolar$Bipolar Affective Psychosis$Psychoses, Bipolar Affective$Psychosis, Bipolar Affective$Bipolar Disorders$Bipolar Disorder$Disorder, Bipolar$Manic Depressive Psychosis$Manic-Depressive Psychoses$Manic-Depressive Psychosis$Psychoses, Manic Depressive$Psychoses, Manic-Depressive$Psychosis, Manic Depressive$Psychosis, Manic-Depressive]
Antipsychotic Agents|[Agents, Antipsychotic$Antipsychotic Agents$Neuroleptics$Agents, Major Tranquilizing$Agents, Major Tranquillizing$Major Tranquilizing Agents$Major Tranquillizing Agents$Tranquilizing Agents, Major$Tranquillizing Agents, Major$Agents, Neuroleptic$Neuroleptic Agents$Antipsychotics$Antipsychotic Drugs$Drugs, Antipsychotic$Drugs, Neuroleptic$Neuroleptic Drugs$Major Tranquilizers$Tranquilizers, Major]
T-Lymphocytes, Cytotoxic|[Cell Mediated Lympholytic Cells$Cell, Cell-Mediated Lympholytic$Cell-Mediated Lympholytic Cell$Cell-Mediated Lympholytic Cells$Cells, Cell-Mediated Lympholytic$Lympholytic Cell, Cell-Mediated$Lympholytic Cells, Cell-Mediated$Cytotoxic T Lymphocytes$Cytotoxic T-Lymphocyte$Cytotoxic T-Lymphocytes$T Lymphocytes, Cytotoxic$T-Lymphocyte, Cytotoxic$T-Lymphocytes, Cytotoxic]
Mouth Neoplasms|[Mouth Neoplasm$Mouth Neoplasms$Neoplasm, Mouth$Neoplasms, Mouth$Oral Neoplasm$Neoplasm, Oral$Neoplasms, Oral$Oral Neoplasms]
Histocompatibility Antigens Class II|[Antigen, Class II$Antigens, Class II$Class II Antigen$Class II Antigens$Class II Histocompatibility Antigens$Histocompatibility Antigens Class II$Antigens, Ia-Like$Ia-Like Antigens$Ia Like Antigens$Antigens, Ia$Ia Antigens$IA Antigen$Antigen, IA$Antigens, Immune Response$Immune Response Antigens$Antigens, Immune-Response-Associated$Immune-Response-Associated Antigens$Immune Response Associated Antigens$Class II Major Histocompatibility Antigens$I-A-Antigen$I-A Antigen$Antigen, I-A$I A Antigen]
Prostate|[Prostate$Prostates]
Prostatic Diseases|[Disease, Prostatic$Diseases, Prostatic$Prostatic Disease$Prostatic Diseases]
Visual Fields|[Field, Visual$Fields, Visual$Visual Fields$Visual Field]
Stroke Volume|[Stroke Volume$Stroke Volumes$Volume, Stroke$Volumes, Stroke]
Urography|[Urography]
Thrombin|[Thrombase$Thrombin]
Risk Assessment|[Assessment, Risk$Assessments, Risk$Risk Assessment$Risk Assessments]
Glioma|[Gliomas$Glioma$Glial Cell Tumor$Glial Cell Tumors$Tumor, Glial Cell$Tumors, Glial Cell]
Malignant Glioma|[Glioma, Malignant$Gliomas, Malignant$Malignant Glioma$Malignant Gliomas]
Myeloid Leukemia|[Granulocytic Leukemia$Granulocytic Leukemias$Leukemia, Granulocytic$Leukemias, Granulocytic$Myeloid Leukemias$Leukemia, Myeloid$Leukemias, Myeloid$Myeloid Leukemia$Leukemia, Myelocytic$Leukemias, Myelocytic$Myelocytic Leukemia$Myelocytic Leukemias$Leukemia, Myelogenous$Leukemias, Myelogenous$Myelogenous Leukemia$Myelogenous Leukemias]
Social Adjustment|[Adjustment, Social$Adjustments, Social$Social Adjustment$Social Adjustments]
Colitis, Ulcerative|[Colitides, Ulcerative$Colitis, Ulcerative$Ulcerative Colitides$Ulcerative Colitis$Hemorrhagic Rectocolitides$Hemorrhagic Rectocolitis$Rectocolitides, Hemorrhagic$Rectocolitis, Hemorrhagic$Rectocolitides, Ulcerative$Rectocolitis, Ulcerative$Ulcerative Rectocolitides$Ulcerative Rectocolitis$Proctocolitis, Hemorrhagic$Hemorrhagic Proctocolitides$Hemorrhagic Proctocolitis$Proctocolitides, Hemorrhagic$Proctocolitis, Ulcerative$Proctocolitides, Ulcerative$Ulcerative Proctocolitides$Ulcerative Proctocolitis]
Phenobarbital|[Phenemal$Phenobarbital$Phenobarbitone$Acid, Phenylethylbarbituric$Phenylethylbarbituric Acid$Phenylbarbital$2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-ethyl-5-phenyl-]
Basement Membrane|[Basement Membrane$Basement Membranes$Membrane, Basement$Membranes, Basement]
Aggression|[Aggressions$Aggression]
Psoriasis|[Psoriases$Psoriasis]
Chromatin|[Chromatin$Chromatins]
Osteoporosis|[Osteoporoses$Osteoporosis]
Blood Volume|[Blood Volume$Blood Volumes$Volume, Blood$Volumes, Blood]
Antidepressive Agents|[Antidepressants$Agents, Antidepressive$Antidepressive Agents$Antidepressant Drugs$Drugs, Antidepressant]
Cell-Free System|[Cell Free System$Cell-Free System$Cell-Free Systems$System, Cell-Free$Systems, Cell-Free$Cellfree System$Cellfree Systems$System, Cellfree$Systems, Cellfree]
Vitamin E|[Vitamin E]
Diffusion|[Diffusion$Diffusions]
Pregnancy, Animal|[Animal Pregnancies$Animal Pregnancy$Pregnancies, Animal$Pregnancy, Animal]
Freezing|[Freezing$Freezings]
Hearing Loss, Partial|[Hearing Loss$Loss, Hearing$Hearing Impairment$Hypoacusis$Hypoacuses]
Deafness <3>|[Deafness$Bilateral Deafness$Deafness, Bilateral$Complete Hearing Loss$Hearing Loss, Complete]
Military Medicine|[Medicine, Military$Military Medicine]
Brazil|[Brazil]
Concanavalin A|[A, Concanavalin$Concanavalin A]
Peripheral Nerves|[Nerves, Peripheral$Nerve, Peripheral$Peripheral Nerves$Peripheral Nerve]
Fingers|[Finger$Fingers]
Complement Fixation Tests|[Complement Fixation Tests$Fixation Test, Complement$Fixation Tests, Complement$Test, Complement Fixation$Tests, Complement Fixation$Complement Fixation Test]
Menopause|[Menopause$Change of Life, Female]
Infant Mortality|[Infant Mortalities$Infant Mortality$Mortalities, Infant$Mortality, Infant]
Interleukin-6|[B Cell Stimulatory Factor 2$B Cell Stimulatory Factor-2$B-Cell Stimulatory Factor 2$B-Cell Stimulatory Factor-2$B Cell Differentiation Factor 2$B-Cell Differentiation Factor-2$Differentiation Factor 2, B Cell$Differentiation Factor-2, B-Cell$BSF-2$Growth Factor, Hybridoma$Hybridoma Growth Factor$IFN-beta 2$Interleukin 6$Interleukin-6$Growth Factor, Plasmacytoma$Plasmacytoma Growth Factor$Hepatocyte Stimulating Factor$Hepatocyte-Stimulating Factor$MGI-2$Differentiation-Inducing Protein, Myeloid$Myeloid Differentiation Inducing Protein$Myeloid Differentiation-Inducing Protein$B Cell Differentiation Factor$B-Cell Differentiation Factor$Differentiation Factor, B Cell$Differentiation Factor, B-Cell$IL-6$IL6]
Personality inventories|[Inventories, Personality$Inventory, Personality$Personality Inventories$Personality Inventory]
Alanine Transaminase|[Alanine Aminotransferase$Aminotransferase, Alanine$Glutamic Alanine Transaminase$Glutamic-Alanine Transaminase$Transaminase, Glutamic-Alanine$Glutamic Pyruvic Transaminase$Glutamic-Pyruvic Transaminase$Transaminase, Glutamic-Pyruvic$Alanine 2 Oxoglutarate Aminotransferase$Alanine-2-Oxoglutarate Aminotransferase$Aminotransferase, Alanine-2-Oxoglutarate$L-Alanine:2-oxoglutarate aminotransferase$Alanine Transaminase$Transaminase, Alanine]
Abscess|[Abscess$Abscesses]
Fertility|[Fecundability$Fecundity$Fertility]
Fluorides|[Fluoride$Fluorides]
Fibrinolysis|[Fibrinolyses$Fibrinolysis]
Glutamic Acid|[Glutamic Acid$L-Glutamic acid$L-Glutamic Acid$L Glutamic Acid]
South Africa|[South Africa$Republic of South Africa$Union of South Africa]
Laryngeal Neoplasms|[Laryngeal Neoplasms$Neoplasm, Laryngeal$Neoplasms, Laryngeal$Laryngeal Neoplasm$Larynx Neoplasm$Larynx Neoplasms$Neoplasm, Larynx$Neoplasms, Larynx]
False Positive Reactions|[False Positive Reaction$False Positive Reactions$Positive Reaction, False$Positive Reactions, False$Reaction, False Positive$Reactions, False Positive]
Administration, Topical|[Administration, Topical$Administrations, Topical$Topical Administration$Topical Administrations$Administration, Topical Drug$Administrations, Topical Drug$Drug Administration, Topical$Drug Administrations, Topical$Topical Drug Administration$Topical Drug Administrations]
Corticosterone|[Corticosterone$Pregn-4-ene-3,20-dione, 11,21-dihydroxy-, (11beta)-]
Electrodes|[Electrode$Electrodes]
Pituitary Neoplasms|[Neoplasm, Pituitary$Neoplasms, Pituitary$Pituitary Neoplasms$Pituitary Neoplasm$Pituitary Tumor$Pituitary Tumors$Tumor, Pituitary$Tumors, Pituitary]
Protein Processing, Post-Translational|[Modification, Post-Translational Protein$Modifications, Post-Translational Protein$Post Translational Protein Modification$Post-Translational Protein Modification$Post-Translational Protein Modifications$Protein Modification, Post-Translational$Protein Modifications, Post-Translational$Post Translational Protein Processing$Post-Translational Protein Processing$Processing, Post-Translational Protein$Protein Processing, Post Translational$Protein Processing, Post-Translational$Posttranslational Protein Processing$Processing, Posttranslational Protein$Protein Processing, Posttranslational]
Streptococcus|[Streptococcus]
Neuroglia|[Glia$Glial Cells$Cell, Glial$Cells, Glial$Glial Cell$Neuroglia$Cell, Neuroglial$Cells, Neuroglial$Neuroglial Cell$Neuroglial Cells]
Counseling|[Counseling]
Potassium Channels|[Channel, Potassium Ion$Channels, Potassium Ion$Ion Channel, Potassium$Ion Channels, Potassium$Potassium Ion Channel$Potassium Ion Channels$Channel, Potassium$Channels, Potassium$Potassium Channel$Potassium Channels]
DNA Mutational Analysis|[Analysis, DNA Mutational$DNA Mutational Analysis$Mutational Analysis, DNA$Analyses, DNA Mutational$DNA Mutational Analyses$Mutational Analyses, DNA]
Pain Measurement|[Analgesia Test$Analgesia Tests$Test, Analgesia$Tests, Analgesia$Nociception Test$Nociception Tests$Test, Nociception$Tests, Nociception$Assessment, Pain$Assessments, Pain$Pain Assessment$Pain Assessments$Measurement, Pain$Measurements, Pain$Pain Measurement$Pain Measurements]
Biocompatible Materials|[Biocompatible Materials$Materials, Biocompatible$Biomaterials]
Immunotherapy|[Immunotherapies$Immunotherapy]
Resuscitation|[Resuscitation$Resuscitations]
Cardiomegaly|[Cardiomegaly$Enlargement, Heart$Heart Enlargement$Cardiac Hypertrophy$Hypertrophy, Cardiac$Heart Hypertrophy$Hypertrophy, Heart$Enlarged Heart$Heart, Enlarged]
Neuroblastoma|[Neuroblastoma$Neuroblastomas]
X Chromosome|[Chromosome, X$Chromosomes, X$X Chromosome$X Chromosomes]
Serum Albumin, Bovine|[Albumin, Bovine Serum$Bovine Serum Albumin$Serum Albumin, Bovine]
Tibia|[Tibia$Tibias]
Health Services Research|[Health Care Research$Research, Health Care$Evaluation, Health Services$Evaluations, Health Services$Health Services Evaluation$Health Services Evaluations$Health Services Research$Research, Health Services$Medical Care Research$Research, Medical Care$Healthcare Research$Research, Healthcare]
Caucasoid Race|[Caucasoid Race$Caucasoid Races$Race, Caucasoid$Races, Caucasoid$Caucasian Race$Caucasian Races$Race, Caucasian$Races, Caucasian]
Cost Control|[Containment, Cost$Cost Containment$Control, Cost$Controls, Cost$Cost Control$Cost Controls$Containments, Cost$Cost Containments]
Chromosomal translocation|[Chromosomal Translocation$Chromosomal Translocations$Translocation, Chromosomal$Translocations, Chromosomal$Translocations$Translocation$Translocation (Genetics)$Translocations (Genetics)]
Intracellular Membranes|[Intracellular Membrane$Intracellular Membranes$Membrane, Intracellular$Membranes, Intracellular]
Lidocaine|[Lidocaine$Lignocaine$Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-]
Gastrectomy|[Gastrectomies$Gastrectomy]
Sulfates, Inorganic|[Inorganic Sulfates$Sulfates, Inorganic$Sulfates]
Psychophysiologic Disorders|[Psychophysiologic Disorders$Psychophysiologic Disorder$Psychosomatic Disorders$Psychosomatic Disorder$Psychophysiological Disorder$Psychophysiological Disorders]
Sucrose|[Saccharose$Sucrose$alpha-D-Glucopyranoside, beta-D-fructofuranosyl]
Gastrointestinal Motility|[Gastrointestinal Motilities$Gastrointestinal Motility$Motilities, Gastrointestinal$Motility, Gastrointestinal]
Nursing Assessment|[Assessment, Nursing$Assessments, Nursing$Nursing Assessment$Nursing Assessments]
Bilirubin|[Bilirubin$Bilirubin IX alpha$21H-Biline-8,12-dipropanoic acid, 2,17-diethenyl-1,10,19,22,23,24-hexahydro-3,7,13,18-tetramethyl-1,19-dioxo-]
Health Services Accessibility|[Availability of Health Services$Health Services Availability$Accessibility of Health Services$Health Services Accessibility$Accessibility, Health Services$Access to Health Care]
Neurologic Examination|[Examinations, Neurologic$Neurologic Examination$Neurologic Examinations$Examination, Neurologic$Examination, Neurological$Examinations, Neurological$Neurological Examination$Neurological Examinations]
Atrophy|[Atrophies$Atrophy]
Dextrans|[Dextrans]
Dextran|[Dextran]
Mitral Valve|[Bicuspid Valve$Bicuspid Valves$Valve, Bicuspid$Valves, Bicuspid$Mitral Valve$Mitral Valves$Valve, Mitral$Valves, Mitral]
Liver Function Tests|[Function Test, Liver$Function Tests, Liver$Liver Function Test$Liver Function Tests$Test, Liver Function$Tests, Liver Function]
piperazine|[piperazine$1,4-piperazine]
Piperazines|[Piperazines]
Intensive Care Units|[Care Unit, Intensive$Care Units, Intensive$Intensive Care Unit$Intensive Care Units$Unit, Intensive Care$Units, Intensive Care]
Remission Induction|[Inductions, Remission$Remission Induction$Remission Inductions$Induction of Remission$Induction, Remission]
Dietary Carbohydrates|[Carbohydrates, Dietary$Dietary Carbohydrates]
Cell Fractionation|[Cell Fractionation$Fractionation, Cell$Cell Fractionations$Fractionations, Cell]
Precancerous Conditions|[Condition, Precancerous$Conditions, Precancerous$Precancerous Condition$Precancerous Conditions]
CD4-Positive T-Lymphocytes|[T4 Cell$T4 Cells$T4 Lymphocyte$T4 Lymphocytes$CD4-Positive Lymphocytes$CD4-Positive Lymphocyte$Lymphocyte, CD4-Positive$Lymphocytes, CD4-Positive$CD4 Positive T Lymphocytes$CD4-Positive T-Lymphocyte$CD4-Positive T-Lymphocytes$T-Lymphocyte, CD4-Positive$T-Lymphocytes, CD4-Positive]
